id,eng,afr,sot,nso,tsn,ssw,ven,tso,nbl,xho,zul,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info
icelda_academic_data_0,abandon,laat vaar,emisa,go tlogela,latlha,yekela,kudza,-fularhela,-lisa,-ncama,lahla,verb,"to stop doing something or being involved in an activity or piece of work, especially before it is completed / Have they just postponed this project, or abandoned it altogether? / to stop having an idea or thinking in a certain way / He urged us to abandon the idea.",werkwoord,’n idee prysgee of ophou om op ’n bepaalde manier te dink / Hy het by ons aangedring om die idee te laat vaar.,verb,to thibela ho ba le mohopolo kapa monahano ka tsela e itseng. / Ba emisitse ka maano a bona a bosetjhaba.,verb,go tlogela go ba le kgopolo goba go nagana ka mokgwa wo o rilego. / Ba tlogetše melao ya bona ya bokomonisi.,verb,go emisa go nna le kakanyo kgotsa go emisa go nagana ka tsela e e rileng. / Ba ne ba ba latlha melawanatheo ya bone ya bososialise.,verb,kuyekela kuba nembono noma kucabanga ngendlela letsite. / Bayiyekele imigomo yabo yebusoshalisi.,verb,u imisa mihumbulo kana kuhumbulele kugede. / Vho kudza vhutendatenda havho kha zwa soshaḽizimu.,verb,ku tshika ku va ni mianakanyo kumbe ku ehleketa hi ndlela yin'wana. / Va fularherile misinya ya vona ya vusoxalisi.,verb,ukulisa ukuba nombono nanyana ukucabanga ngendledlana ethileko. / Balise ikambisolawulo yobusotjhiyalisti babo.,verb,ukuyeka ukuba noluvo okanye ukucinga ngenye indlela. / Bazincamile iinqobo zokuba ubutyebi belizwe bobabantu bonke.,verb,ukuma ukuba nomqondo othile noma ukucabanga ngendlela ethile. / Balahla imigomo yabo yokuba amadlelandawonye.
icelda_academic_data_1,ability,vermoë,bokgoni,bokgoni,kgona,likhono,vhukoni,vuswikoti,kghona,ukukwazi,ikhono,noun / npun / verb,the state of being able to do something / This spell checker also has the ability to automatically point out some grammatical errors.,naamwoord,die toestand van in staat te wees om iets te doen / Hierdie speltoetser het ook die vermoë om outomaties sommige grammatikale foute uit te wys.,verb,boemo ba ho etsa ntho e itseng / Spell checker sena se boetse se na le bokgoni ba hore ka ho iketsahalla bo bontse diphoso tsa puo.,noun,maemo a go kgona go dira se sengwe / Selekodi se sa mopoleto se na le gape bokgoni bja go tšweletša ka go ditiriša iphošo tše dingwe tša popopolelo.,verb,go kgona go dira sengwe / Setlhola-mopeleto seno gape se kgona go bona ka bosone fela fa go na le diphoso dingwe tse di amanang le thutapuo.,verb,simo sekukhona kwenta lokutsite / Lesihlolilupelomagama sinelikhono lekuvele sitikhombele lamanye emaphutsa e.luhlelo lelulwimi.,noun,tshiimo tsha u kona u ita zwiṅwe zwithu / Hetshi tshisedzulusa mupeleṱo tshi na vhukoni ha u sumbedza vhukoni ha u kona u sumbedzisa vhuṅwe vhukhakhi ha girama na zwenezwo.,verb,xiyimo xo kota ku endla swin’wana. / Xikambisisapeleta lexi nakambe xi nga ni vuswikoti byo endla hi xoxe ku komba swin'wana swa swihoxo swa ririmi.,verb,ubujamo bokukghona ukwenza into / Isihlolisipeledo sikghona ukuzikhombela sona ngokwazo ezinye iimphoso zegrama.,verb,isimo sokukwazi ukwenza into / Esi sikhangeli pelo siyakwazi ngokuzenzekelayo ukubona iimpazamo zegrama.,noun,ikhono lokwenza okuthile / Lesi sihloli sesipelingi sinekhono lokuthola ngokuzenzakalelayo amaphutha athile wegrama.
icelda_academic_data_2,abnormal,abnormaal,e sa tlwaelehang,go se tlwaelege,sa tlwaelega,-ngetayeleki,ṱhaluwo/phambuwo,leswi nga tolovelekangiki,-ngakandi,-ngaqhelekanga,okungajwayelekile,adj / adjective,"different from what is normal, ordinary or expected, often in a way that seems strange, worrying, wrong or dangerous / The number of chromosomes is abnormal.",byvoeglike naamwoord,"anders as die normale, gewone of verwagte, dikwels op ’n manier wat vreemd, kommerwekkend, verkeerd of gevaarlik lyk / Die getal chromosome is abnormaal.",adj,"ntho e itseng kapa motho ya itseng ya fapaneng le tlwaelo, kapa se lebeletsweng, hangata ka tsela e makatsang, e tshwenyang, e fosahetseng kapa e kotsi. / Baamehi dipatlisisong tsena ba ile ba fetisetswa ho setsebihadi ka lebaka la ho se tlwaelehe ha ditekanyetso tsa tsebe e bohareng.",adj,"selo goba motho yo a fapanego go tlwaelo, setlwaedi goba letetšwego, ka mokgwa wa go makatša, go tshwenya, go se dumelelege goba go ba kotsi. / Batšeakarolo mo go thuto ye ba ile ba šupetšwa go setsebi sa tsebe, nko le mogolo ka lebaka la dikelo tša bokagare bja tsebe tšeo di sa tlwaelegago.",adjective,"sa tshwane le mo go tlwaelegileng kgotsa mo go lebeletsweng, gantsi e le ka tsela e e bonalang e kete e a gakgamatsa, e a tshwenya, ga e a siama kgotsa e kotsi / Palo ya dikoromosomo ga e a tlwaelega.",adj,"intfo noma umuntfu lowehlukile kuloko lokwetayelekile, noma lokulindzelekile, imvamisa ngendlela lebukeka ngalokungakatayeleki, lekhatsatanako, lekabi noma leyingoti. / Labahlanganyeli balesifundvo bandluliselwa kudokotela lokhetsekile lobukene nekugula kwendlebe, imphumulo nemphimbo mayelana nekukalwa kwencenye yendlebe lesemkhatsini.",adj,"tshithu kana muthu ane a si fane na zwo ḓowelwaho, zwa nga misi kana zwo lavhelelwaho, kanzhi zwi vhonala zwi zwiswa, zwo khakhea kana zwi tshi ofhisa. / Vhashelamulenzhe kha risetshe (ṱhoḓisiso) vho rumelwa ha makone wa zwa nḓevhe, ningo na mikulo nge vha vha na ṱhaluwo/phambuwo dza mielo ya bako ḽa nḓevhe.",adj,"xin'wana kumbe un'wana loyi a hambaneke eka leswi tolovelekeke, leswi tivekaka swinene kumbe leswi languteriweke, ngopfungopfu hi ndlela leyi langutisekaka yi ri leyi pheweke, leyi vilerisaka, leyi hoxekeke kumbe leyi nga nghozi. / Vatekaxiave eka dyonzo va rhumeriwile eka xitivinkulu xa ndleve, nhompfu na kholokholo hikokwalaho ka mimpimo leyi nga tolovelekangiki ya ndleve ya le xikarhi.",adj,"okhunye okuhlukileko kunalokho okujayelekileko, okuvamileko nanyana okulindelweko, esikhathini esinengi ngokwendledlana erarako, etshwenyako, embi nanyana enobungozi. / Abahlanganyeli esifundweni balayelwe kusolwazi wendlebe, wepumulo kanye nomphimbo ngesimanga sokuhluka ngokungakandi kweemedo zendlebe engaphakathi.",adj,"into okanye umntu ohlukileyo kwinto eqhelekileyo, yesiqhelo okanye elindelweyo, ngamaxa amaninzi ngendlela engaqhelekanga, exhalabisayo, engalunganga okanye enengozi. / Abathathi-nxaxheba kuphononongo bathunyelwa kwingcali yendlebe, impumlo nomqala ngokusekelwe kwimilinganiso engaqhelekanga yomphakathi wendlebe.",adj,"yinto ethile noma umuntu othile owehlukile kulokho okwejwayelekile, okuvamile noma okulindelekile, imvamisa lokhu kuba ngendlela esuke yehlukile, ikhathaza noma inobungozi. / Ababambiqhaza kulolu cwaningo bedluliselwa kungoti owelapha indlebe, ikhala kanye nomphimbo ukuze ayokala ubungako obungajwayelekile endlebeni."
icelda_academic_data_3,absolute,absoluut,fetoheng,feleletše,sa fetoge,sabito selucobo,vhukuma,-hetiseka,kwamambala,phelele,phelele,adjective,not allowing for other opinions / Her view on the morality of people’s actions is absolute.,byvoeglike naamwoord,wat geen ander opinies toelaat nie / Haar siening van die moraliteit van mense se handelinge is absoluut.,adjective,ho se dumelle maikutlo a mang / Maikutlo a hae tabeng ya boitshwaro diketsong tsa batho ke a sa fetoheng.,adjective,go se dumelele dikgopolo tša ba bangwe / Dikgopolo tša gagwe ka maitshwaro a ditiro tša batho di feleletše.,adjective,sa letleng dipono tse dingwe / Pono ya gagwe ka gore a se se dirwang ke ba bangwe se siame kgotsa jang ga e fetoge.,adjective,kungavumeli leminye imibono / Umbono wakhe ngekutiphatsa kwebantfu uphelele.,adjective,u sa tendela dziṅwe khetho / Kuvhonele kwavho kha mikhwa ya nyito dza vhathu ndi kwa vhukuma/kwo fhelela.,adjective,ku nga pfumeleli miehleketo yin’wana. / Miehleketo ya yena eka vumunhu bya swiendlo swa vanhu i yo hetiseka.,adjective,asivumeli eminye imibono / Umbono wakhe ngezenzo zemikghwa emihle yabantu ngewamambala.,adjective,ukungavumeli ezinye izimvo / Uluvo lwakhe kokulungileyo kwizenzo zabantu luphelele.,adjective,ukungavumeli imibono yabanye / Umbono wakhe ekuziphatheni kwezenzo zabanye abantu uphelele.
icelda_academic_data_4,absolutise,verabsoluteer,ho se fetohe,go dira gore e felele,tsepisa,ngatsekisa,u ita uri zwi vhe zwa vhukuma,cinca,qinisekisa kwamambala,phelelisa,yenza kuphelele,verb,make something absolute / The danger of people who follow one particular ideology is that they absolutise the ideas in it and consequently accept no other ideas as valid.,werkwoord,"iets absoluut maak / Die gevaar van mense wat een spesifieke ideologie aanhang, is dat hulle die idees daarin verabsoluteer en gevolglik geen ander idees as geldig aanvaar nie.",verb,ho etsa hore ntho e itseng e se fetohe / Kotsi ke hore batho ba latelang mohopolo o qollehileng ha ba fetohe mehopolong eo mme kahoo ha ba amohele mehopolo e meng jwalo ka nnete.,verb,go dira selo gore se felelele / Kotsi ya batho ba go latela kgopolo ye tee ke gore ba dira dikgopolo tša bona gore di felelele gomme mafelelong ga ba dumele dikgopolo tše dingwe go ba tša nnete.,verb,dira gore selo e nne se se sa fetogeng / Kotsi ya batho ba ba latelang kgopolo nngwe e e rileng ke gore ba tsepisa megopolo mo go yone mme ka ntlha ya moo ba bo ba sa tlhole ba bona dikgopolo tse dingwe.,verb,kwenta lokutsite kungatsekise / Ingoti yebantfu labalandzela umcondvo munye lotsite kwekutsi bangatsekisa umcondvo lokuko bese bagcina ngekungamukeli leminye imicondvo njengaleliciniso.,verb,u ita uri tshithu tshi vhe tsha vhukuma / Khombo ya vhathu vha tevhelaho pfunzotherwa ndi uri vha ita uri mihumbulo ire khayo i vhe ya vhukuma na u dzulela u ṱanganedza uri a huma miṅwe mihumbulo yo dziaho.,verb,ku endla swin’wana swi hetiseka. / Khombo ra vanhu lava va landzelelaka vonelo rin’we ro karhi hi leswaku va cinca mavonelo eka wona naswona hi ku landzelela swo karhi ku nga amukeli man’wana mavonelo tanihi ya nkoka.,verb,kuqinisekisa kwamambala kwento / Ubungozi bababntu abalandela umbono munye okhethekileko kukuthi baqinisekisa ngokwamambala imibono leyo bese-ke bangasathatha eminye imibono ezwakalako.,verb,yenza into iphelele / Ingozi yabantu abalandela iinzululwazi ngengcinga enye ethile kukuba baphelelelisa izimvo kuyo kuze okulandelayo bangamkeli ezinye izimvo njengezilungileyo.,verb,ukwenza okuthile kuphelele / Ingozi yabantu abalandela umbono othile wukuthi benza leyo mibono ibe ngephelele futhi ekugcineni bangamukeli eminye imibono njengefanele.
icelda_academic_data_5,absolutism,absolutisme,boikutlo bo sa fetoheng,maatla ao a feletšego,kgatelelo,kungatsekisa,u dzulela u vha zwa vhukuma,vuheleri,ukuqinisekisa kwamambala,ulawulo olusezandleni zomntu omnye,ngokuphelele,noun,attitude that meaning is immutable and things are therefore unconditionally valid / The absolutism in her approach to religious issues scares many people.,naamwoord,houding dat betekenis onveranderlik en dinge dus onvoorwaardelik geldig is / Die absolutisme in haar benadering tot geloofskwessies skrik baie mense af.,noun,boikutlo bo hlalosang hore dintho tse ding di ke ke tsa fetolwa mme kahoo ke nnete e sa fetoheng / Boikutlo ba hae bo sa fetoheng ha ho tluwa ditabeng tsa bodumedi bo tshosa batho ba bangata.,noun,mokgwa wa gore tlhalošo e feletše gomme ka gona dilo ke tša nnete go felela / Maatla ao a feletšego mo go laoleng ditaba tša bodumedi a tšhoša batho ba bantši.,noun,"boikutlo jwa gore bokao jwa selo ga go na jaaka fa bo ka fetolwa, mme ka ntlha ya moo dilo di ntse fela jaaka di ntse ga di ka ke tsa fetolwa / Tsela e a gatelelang dilo ka yone mo dikgannyeng tsa bodumedi e tshosa batho ba le bantsi.",noun,indlela lacabanga ngayo kutsi inshokutsi ayinogucuka kantsi netintfo ngalokunjalo tisemtsetfweni ngalokungenambandzela / Kungatsekisa kundlela lachuba ngayo tindzaba tenkholo yesabisa bantfu labanyenti.,noun,kusedzele kwa uri ṱhalutshedzo a i shandukisei nahone zwenezwo zwithu zwo tea hu si na na zwiṅwe. / U dzulela u vha zwa vhukuma kha kusedzele kwavho kha zwithu zwa vhureleli zwi shavhisa vhathu vhanzhi.,noun,vonelo ra leswaku nhlamuselo yi nga pfuki yi cincile na swilo hikokwalaho ka ku kala swipimelo swo ka swingari swa nkoka. / Vuheri eka maendlelo ya yena eka timhaka ta vukhogeri ma chavisa vanhu vo tala.,noun,yindlela yokuthi ihlathululo iyakholwakala begodu ngalokho-ke izinto zithathwa njengeziliqiniso ngaphandle kombandela / Ukuqinisekisa kwamambala endleleni ayisebenzisako kezekelo ithusa abantu abanengi.,noun,uluvo lokuba intsingiselo ayinakuguqulwa kwaye ke ngoko izinto zichaneke ngokungenamqathango / Ulawulo olusezandleni zomntu omnye kwindlela ajongana ngayo nemiba yezenkolo yoyikisa abantu abaninzi.,noun,isimo sokuthi incazelo ingengaphenduki nokuthi izinto ziba ezingalungile ngokungenamibandela / Ukuba ngokuphelele endleleni yakhe yezindaba zenkolo kwethusa abantu abaningi.
icelda_academic_data_6,absorb,absorbeer,kgahlilwe,go tšea,gapa,kufaka,kunga,-koka nyingiso,-dosa,-funxa,gxila,verb,"find something so interesting that you do not pay attention to anything else / She was completely absorbed in her book and didn’t hear a word I said. / to hold someone’s attention or interest completely / He recently finished the work that had absorbed him for almost two years. / to take new information into the mind and learn and understand it / Without any prior knowledge or a printed text at our disposal, it was difficult to absorb all the information he presented on nuclear fission.",werkwoord,"nuwe inligting in die verstand inneem en dit leer en verstaan / Sonder enige voorafkennis of ’n gedrukte teks tot ons beskikking was dit moeilik om al die inligting wat hy oor kernsplyting aangebied het, te absorbeer.",verb,ho tshwarella kgahleho kapa thahasello ya motho ka ho phethahala. / O ne a kgahlilwe ke buka ya hae mme ka hona ha a ka a utlwa letho leo ke neng ke le bua.,verb,"go tšea tshedimošo ye mpsha le go e nokela ka monaganong le go ithuta le go ikwišiša. / Ka ntle le tsebo ya peleng goba temana ye e gatišitšwego yeo e lego pele gago, go be go le boima go tšea tshedimošo ka moka yeo e bego e hlagišwa ka ga fišini ya nyuklea.",verb,go fitlhela sengwe se go gogela jaana mo e leng gore ga o bone tse dingwe tsotlhe / Buka ya gagwe e ne e mo gapile thata jaana mo e leng gore ga a utlwa sepe se ke neng ke se bua.,verb,kufaka lwatiso engcondvweni uphindze ulufundze futsi uluvisise. / Ngaphandle kwelwati lwaphambilini noma lokubhaliwe lebesingakusebentisa kwaba lukhuni kutsi sifake engcondvweni lonkhe lwatiso lwatiswa lwekakhiswa kwenukliya.,verb,u kokodza tshoṱhe dzangalelo kana lutamo lwa muthu. / O vha o tou kungea tshoṱhe nga bugu lwe a si pfe na tshithihi tshe nda amba.,verb,ku koka nyingiso wa un'wana kumbe ntsakelo wakwe hi ndlela leyi hetisekeke. / A kokiwile nyingiso wakwe hinkwawo hi buku yakwe hikokwalaho a nga twangi ni rito na rin'we leri ndzi ri vuleke.,verb,ukudosa abantu ekutheni bakulalele kikho koke okutjhoko. / Bekadoswe ngilokho akufundako encwadini akhange ezwe nokuthi ngithini.,verb,"ukuthatha ulwazi olutsha ulufake engqondweni uze ulufunde yaye uluqonde. / Ngaphandle kolwazi naluphina lwangaphambili okanye into ebhaliweyo esinayo, bekunzima ukufunxa lonke ulwazi olunikelwa ngokucandeka kwenyukliya.",verb,thola into ethakazelisa kakhulu kangangokuthi awunaki enye into / Wayegxile kakhulu encwadini yakhe futhi akazwanga nelilodwa igama engilishilo.
icelda_academic_data_7,abstract,abstraheer,e sa tshwareheng,kakaretšo,ntlha kgolo,-bonakali,khumbulelwa,humesa,-catjangwako,-ngaphathekiyo,isandulela,adj / adjective / noun / verb,"a short summary / The abstract of the article summarises the main findings. / a short summary / main findings. / existing as an idea, but not as a physical thing / Love is regarded as an abstract idea. / existing as an idea, but not as a physical thing. / Love is regarded as an abstract idea. / physical thing. / Love is regarded as an abstract idea. / summary of the major aspects of an academic paper / The abstract at the beginning of a long academic article is useful if you want to know if the article is relevant to you. / summary of the major aspects of an academic paper / academic article is useful if you want to know if the article is relevant to you. / thing / Love is regarded as an abstract idea. / to infer abstract meaning from something / The knowledgeable reader can abstract certain universal truths from a good literary text.",byvoeglike naamwoord / naamwoord / werkwoord,abstrakte betekenis uit iets aflei / Die kundige leser kan sekere universele waarhede uit ’n goeie literêre teks abstraheer.,adj / adjective / noun / verb,"mohopolo o leng teng, empa o sa tshwarehang / Lerato le tadingwa e le mohopolo o sa tshwareheng.",adj / adjective / noun / verb,go kwešiša tlhalošo ya kakaretšo go tšwa go se sengwe / Mmadi yoo a nago le tsebo a ka akaretša dinnete tše dingwe tša go felela go sengwalwa sa go ithuta se sebotse.,adj / adjective / noun / verb,tshobokanyo ya dikarolo tsa konokono mo kgannyeng e o ithutang ka yone / Ntlha kgolo mo tshimologong ya kgang e telele e o ithutang ka yone e a thusa fa o batla go itse gore a kgang eo e a go ama kgotsa jang.,adj / adjective / noun / verb,"lokukhona, kepha hhayi lokuphatsekako. / Lutsandvo lutsatfwa njengemcondvo longabonakali.",adj / adjective / noun / verb,tshithu tsho dziaho. / Lufuno lu pfi ndi khumbulelwa.,adjective / noun / verb,ku kumbetela nhlamuselo ku suka eka swin’wana. / Muhlayi loyi a nga ni vutivi byo tala a nga ha humesa ntiyiso wun’wana emisaveni hinkwayo ku suka eka xitsariwa lexi tsariweke kahle.,adj / adjective / noun / verb,"okuba khona njengombono, kodwana ingasi njengento ephathekako. / Ithando lithathwa njengombono ocatjangwako.",adj / adjective / noun / verb,"into ekhoyo njengoluvo, kodwa hayi njengento ephathekayo. / Uthando luthathwa njengoluvo olungaphathekiyo.",adj / adjective / noun / verb,isandulela sezingxenye ezinkulu zephepha lezemfundo / Isandulela esisekuqaleni kwe-athikili ende yezemfundo siwusizo uma ufuna ukwazi ukuthi i-athikili iyakufanela yini.
icelda_academic_data_8,abstraction,abstraksie,ho qotsa,kakaretšo,go tlhomolola,umcondvo,muṱalukanyo,nkomiso,ukuhlathulula ubujamo,ucaphulo,ukwakha imibono,noun,"(the process of formulating) general ideas from concrete data / The thematic motifs of a text are an abstraction, ideas that readers are able to infer from the concrete textual data.",naamwoord,"(die formulering van) algemene idees uit konkrete gegewens / Die tematiese motiewe van ’n teks is ’n abstraksie, idees wat lesers uit die konkrete teksgegewens kan aflei.",noun,"(tshebetso ya ho bopa) mehopolo e akaretsang ho tswa ho datha e tiileng / mohopolo o sa tshwareheng, mehopolo eo babadi ba kgonang ho utlwisisa moelelo wa datha e tiileng.",noun,"(tshepetšo ya go dira) dikgopolo tša kakaretšo go tšwa go data ya nnete / Dibopego tša tematiki tša sengwalwa ke kakaretšo, dikgopolo tšeo babadi ba kgonago go di kwešiša go tšwa go data ya dingwalwa tša nnete.",noun,"(thulaganyo ya go tlhaola) dikgopolo tse di akaretsang mo tshedimosetsong e e buang ka kgang nngwe e e rileng / Tsela e se se kwadilweng se rulagantsweng ka yone ke tsela ya go tlhomolola kgopolo e e rileng, dikgopolo tse babadi ba ka kgonang go di tlhaloganya fa ba bala tshedimosetso nngwe e e buang ka kgang nngwe e e rileng.",noun,"(inchubo yekwakha) umcondvo lotayelekile kulwati loluphatsekako / Inhloso yengcikitsi yembhalo ingumcondvo, umbono bafundzi labakhonako kuwuniketa inshokutsi kumniningwane wembhalo lophatsekako.",noun,"(maitele a u sika) mihumbulo nyangaredzi u bva kha data i kwameaho / Thero ngudwa dza tshibveledzwa ndi muṱalukanyo, mihumbulo ine vhavhali vha kona u wana u bva kha data ya tshibveledzwa i kwameaho.",noun,"(endlelo ra ku vumbiwa) mavonelo yo katsa hinkwaswo ku suka eka datara yo tika. / Ku xaxameta hi ku ya hi nhlokomhaka mahungu ya xitsariwa i nkomiso, mavonelo lama vahlayi va kotaka ku kumbetela ku suka eka datara ya xitsariwa xo tika.",noun,"(ihlelo lokwakha) imibono evulekileko ukusukela elwazini eliphathekako / Umnqopho wommongo womtlolo ngikho okuhlathulula ubujamo bomtlolo, imibono lapho abafundi bathola khona ilwazi lezomtlolo eliqinisekisiweko.",noun,"(inkqubo yokwakha) izimvo jikelele ezivela kwidatha eluqilima / Umxholo oqaqambisa umbhalo sisicatshulwa, izimvo ezo abafundi bakwazi ukuthatha kuzo ukuze bathelekelele kwidatha yombhalo eluqilima.",noun,(inqubo yokwakha) imibono evamile kusuka emininingwaneni ethenjwayo. / Amavesi aphindaphindwayo wesihloko sombhalo ayinqubo yokwakha imibono leyo abafundi abangakwazi ukuyithola kusula emininingwaneni yombhalo othenjwayo
icelda_academic_data_9,accelerate,versnel,potlakisa,go kitimiša/go phakiša,akofisa,kusheshisa,ṱavhanyedza,-hatlisisa,-rhabisa,-khawulezisa,sheshisa,verb,to make a process happen faster or sooner than expected / Game-based learning can accelerate the transfer and application of knowledge.,werkwoord,"’n proses gouer of vroeër as wat verwag word, laat plaasvind / Leer wat op spel gebaseer is, kan die oordrag en toepassing van kennis versnel.",verb,ho etsa hore tshebetso e etsahale ka potlako kapa kapele ho feta kamoo ho lebeletsweng. / Ho ithuta ka ho bapala ho ka potlakisa phetisetso le tshebediso ya tsebo.,verb,go dira gore tshepetšo e kitimišwe goba e direge ka pele. / Go ithuta ka dipapadi go ka kitimiša phethetšo ya kgopelo ya tsebo.,verb,go dira gore tsamaiso e direge ka bonakonyana kgotsa ka pelenyana go na le jaaka go solofetswe. / Thuto e e ikaegileng ka metshameko e ka akofisa phetiso le tiriso ya kitso.,verb,kwenta inchubo yenteke ngekusheshisa. / Kufundza ngemdlalo kungasheshisa kwendluliswa nekusetjentiswa kwelwati.,verb,u ita uri zwithu zwi bvelele nga u ṱavhanya kana zwo vhilula u fhira kulavhelele. / U guda nga mitambo zwi ṱavhanyedzisa u rathiswa na u shumiswa ha nḓivho.,verb,ku endla leswaku endlelo ro karhi ri humelela hi ku hatlisa kumbe hi ndlela ya xihatla leyi nga languteriwangiki. / Ku dyondza loku simekiweke ehenhla ka switlangwana ku hatlisisa hundziselo na matirhiselo ya vutivi.,verb,ukwenza into bona yenzeke msinya kunangendlela elindeleke ngayo. / Isifundo-bandulo singarhabisa ukudluliswa kanye nokusetjenziswa kwelwazi.,verb,ukwenza inkqubo yenzeke ngokukhawuleza okanye msinya kunokulindelweyo. / Ukufunda okusekelwe kumdlalo kungakhawulezisa ukudlulisa nokusebenzisa ulwazi.,verb,ukwenza uhlelo oluthile lwenzeke ngokushesha noma ngokuphazima kweso kunendlela obekulindeleke ngayo. / Ukufunda okususelwe emidlalweni kungasheshisa ukwedlulisa kanye nokusetshenziswa kolwazi.
