id,eng,afr,zul,xho,ssw,nbl,tsn,nso,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
dsac_multilingual_soccer_terminology_0,terminate / abandon,afgelas,-misa,ukuchitha umdlalo,misa,-qintela,emisa / phimola,fediša,emisa / fedisa,kaṱudza,yimisa,,match,,wedstryd,,umdlalo,,,,umdlalo,,umdlalo,,,,papadi,,,,mutambo,,ntlangu
dsac_multilingual_soccer_terminology_1,foul language / abusive language,beledigende taal / skeltaal,inhlamba,intetho ekrwada,lulwimi loluhlambalatako / kwetfuka / kuhlambalata,ihlamba / ukuthukana,puothogako / puotshotlo,polelomahlapa / polelomaroga,tlhapa,u semana,ririmi ro ka ri nga amukeleki,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_2,accidental collision,toevallige botsing,ukungqubuzana ngephutha / ukushayisana ngephutha,ukungqubana ngempazamo / ukugilana ngempazamo,kungcundzana / kushayisana,ukuqhulana ngengozi / ukuqhulana ngephoso / ukutjhayisana ngengozi / ukutjhayisana ngephoso,thulano ka phoso,thulano ka phošo,ho thulana ka phoso,u thulana hu songo lavhelelwaho / u kuḓana hu songo lavhelelwaho,ntlumbano hi xihoxo,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_3,advantage clause / advantage rule / advantage law,voordeelreël,umthetho wokubonelela / umthetho wokuzwela,igunya likasompempe / ilungelo likasompempe,umtsetfo lovunako,umthetho ovumelako / indinyana evumelako,molawanatshiamelo,molao wa go fa monyetla / molao wa go fa sebaka,molawana o fanang ka monyetla,mulayo wa u fha tshikhala,xinawana xa mpfuneto,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_4,African Champions League,Afrika-kampioeneliga,uMqhudelwano Wompetha Beligi Base-Afrika,iLigi yooMpondozihlanjiwe baseAfrika / iLigi yeeNtshatsheli zaseAfrika,Iligi Yaboshampheni Base-Afrika,iLigi yeenKutani ze-Afrika,Lliki ya ditshimega tsa Aforika / Lliki ya Bommampodi ba Aforika,Lliki ya Dinkgwete tša Afrika,Liki ya Bompodi ba Aforika,Ḽigi ya Ngweṋa dza Afrika,Ligi ya Tinghwazi ta Afrika,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_5,African Cup of Nations,Afrika-nasieskampioenskap,iNdebe Yamazwe Ase-Afrika,iNdebe yaMazwe aseAfrika,Indzebe Yemave Ase-Afrika,iBhigiri yeenTjhaba ze-Afrika,Sejana sa Dinaga tsa Aforika / Sekgele sa Dinaga tsa Aforika,Sebjana sa Dinaga tša Afrika / Mogopo wa Dinaga tša Afrika,Mohope wa Dinaha tsa Aforika,Tshiphuga tsha Mashango a Afrika,Khapu ya Matiko ya Afrika,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_6,amateur,amateur,umdlali osafufusa,umdlali osakhasayo / umdlali osaqingqayo,umdlali losakhasa,umafundana,magogorwane,magogorwane / setlaboswana,maithutwana / makgokgorwana,mutambi a sa tambeli malamba,mutlangi wa madyondza,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_7,application,toepassing,ukusetshenziswa,ukusetyenziswa komthetho ngusompempe,kusetjentiswa,ukusetjenziswa,tiragatso,tirišo,tshebediso,u shumisa,matirhiselo,,law,,reël,,komthetho,,,,umtsetfo,,umthetho,,,,molao,,molao,,mulayo,,ya nawu
dsac_multilingual_soccer_terminology_8,assistant coach / assistant trainer,hulpafrigter,umsizimlolongi / isekelamqeqeshi,usekela-mqeqeshi / umncedisi-mqeqeshi,umsitimceceshi / umsiti wemceceshi,isekelambanduli,mothusamokatisi,mothušamohlahli / mothušamorutantšhi,mothusi wa mokwetlisi,muthusamugudisi,mupfunamudzaberi,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_9,assistant referee / linesman,lynregter,umsizi kanompempe / umsizi kanondweba,usekela-sompempe / umncedisi-sompempe,umsiti wasomfengwane / umsiti wemphatsimdlalo / umsiti wasompempe,umsizisofengwana,mothusamolaolamotshameko / mothusamoletsaphala,mothušamalokwane,mothusi wa moletsaphala / mothusi wa moteaphala / mothusi wa molaolapapadi,muthusamalogwane / muthusamulangamutambo,mupfunan'watipempe,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_10,assistant referee's flag,lynregtersvlaggie,ifulegi lomsizi kanompempe / iduku lomsizi kanompempe,iflegi kasekela-sompempe / iflegi kamncedisi-sompempe,umbhelebhele wemsiti wasomfengwane / umbhelebhele wemsiti wasompempe,iflarha yomsizisofengwana,folaga ya mothusamoletsaphala / folaga ya mothusamolaolamotshameko,folaga ya mothušamalokwane,folakga ya mothusi wa moletsaphala / folakga ya mothusi wa moteaphala / folakga ya mothusi wa molaolapapadi,fuḽaga ya muthusamulangamutambo / fuḽaga ya muthusamalogwane,mujeko wa mupfunan'watipempe,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_11,attack,aanval,-hlasela,ukuhlasela / ukufunz'edabini,-hlasela / -gadla,-sahlela,tlhasela,hlasela,hlasela / futuha,ṱasela,hlasela,verb,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_12,attacker / forward / striker,doelskieter,umgadli / ifolosi,umhlaseli / ufunz'edabini / ifolosi,inhlonhloloti / lifolosi / umhlaseli / umgadli,umsahleli / umgaleli,motlhasedi,mohlasedi,mohlasedi / mofutuhi,muṱhaseli,muhlaseri,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_13,attacking team / attacking side,span wat aanval / span op die aanval,iqembu elihlaselayo,iqela elihlaselayo / iqela elifunz'edabini,licembu lelihlaselako / licembu leligadlako,isiqhema esisahlelako,setlhopha se se tlhaselang,sehlopha se se hlaselago,sehlopha se hlaselang / sehlopha se futuhang,thimuṱhaseli,xipanu lexi hlaselaka,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_14,away game,wegwedstryd,umdlalo wasekuhambeni,umdlalo ongekho khaya / umdlalo wangaphandle,umdlalo wasekuhambeni / umdlalo wangaphandle,umdlalo wekukhambeni,motshameko wa kwa ntle,papadi ya go se ralokelwe gae,papadi eo eseng ya lehae,mutambo wa nnḓa,ntlangu wa le handle,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_15,away goal rule,wegdoelreël,umthetho wegoli lasekuhambeni,umgaqo wenqaku elisisipho kumdlalo ongekho khaya / umgaqo wenqaku elisisipho kumdlalo wangaphandle,umtsetfo weligoli lasekuhambeni / umtsetfo weligoli langaphandle,umthetho wamagondelo wekukhambeni,molawana wa go nosa dino fa o etile / molawana wa dino tsa kwa ntle,molao wa dino tša go nwešwa fao e sego gae,molao wa dintlha papading eo eseng ya lehae,mulayo wa tshikoro tsha mutambo wa nnḓa,nawu wa tigolo leti howisiweke ehandle,,,,,,,,,,,,,,,,,,,,,,
dsac_multilingual_soccer_terminology_16,backheel,hakskop,-shaya isithende,ukukhaba ngesithende / ukubetha ngesithende,-shaya sitsendze / ngesitsendze,-betha ngesithende / -rarha ngesithende,go ja ka serethe,raga ka serethe,raha ka serethe,u raha nga tshirethe,raha hi xirhendze,verb,,,,,,,,,,,,,go hila,,,,,,,,
