id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_support_0,Academic Administration,Akademiese Administrasie,,AA,Office of the Registrar,AA,Kantoor van die Registrateur,,Ofisi ya Mmušakarolo/Morejistara
up_glossary_support_1,Academic Planning,Akademiese Beplanning,,APL,Office of the Registrar,ABL,Kantoor van die Registrateur,,Ofisi ya  Morejistara/ Mmušakarolo
up_glossary_support_2,Bureau for Institutional Research and Planning,Buro vir Institusionele Navorsing en Beplanning,,BIRAP,,BINEB,,,
up_glossary_support_3,Campus Enterprises,Kampusmaatskappye,,"BE at UP, CE at UP, TuksSport",Campus Enterprise,"BE at UP, CE at UP, TuksSport",Kampusmaatskappy,,Kgwebo ya Khamphase
up_glossary_support_4,Centre for the Study of Aids,Sentrum vir die Studie van Vigs,,,,,,,
up_glossary_support_5,Department of Enrolment and Student Administration,Departement Toelating en Studenteadministrasie,,DESA / used to be Client Service Centre (CSC),Office of the Registrar,voorheen Kliëntediens-sentrum (KDS),Kantoor van die Registrateur,,Ofisi ya Morejistara/ Mmušakarolo
up_glossary_support_6,Community Engagement,Gemeenskapsbetrokkenheid,,,"One of UP's three governance pillars along with Teaching and Learning, and Research and Postgraduate Studies Has two divisions: • Division for Community Engagement Programmes and Projects (CEPP) • Division for Curricular and Research-related Community Engagement(CRCE)",,"Een van UP se drie bestuur-steunpilare, saam met Onderrig en Leer, en Navorsing en Nagraadse Studie Het twee afdelings: •Afdeling Gemeenskaps-betrokkenheidsvennootskappe en -projekte  •Afdeling Kurrikulêre en Navorsingsverwante Gemeenskapsbetrokkenheid",,"Ye nngwe ya tše tharo tša dikokwane tša taolo, gammogo le Go ruta le Go ithuta, le Dinyakišišo/Diphatišišo  le Dithuto tša Dialogadigolwane E na le dikarolo tše pedi: 
•Karolo ya Mananeo a Go tšea karolo Setšhabeng le Diprotšeke
•Karolo ya Lenaneothuto le Dinyakišišo tše di amanago le Go tšea karolo Setšhabeng"
up_glossary_support_7,Corporate Communication and Marketing,Korporatiewe Kommunikasie en Bemarking,,CC&M,Under the Department of University Relations:  •Division for Alumni Relations  •Division for Communication and Marketing  •Division for Fundraising  •Division for Institutional Advancement,KK&B,Onder Departement Universiteitsbetrekkinge:  •Afdeling Kommunikasie en Bemarking  •Afdeling Fondswerwing  •Afdeling Alumnibetrekkinge  •Afdeling Institusionele Bevordering,,"Ka fase ga Kgoro ya Dikamano tša Yunibesithi: 
•Karolo ya Dikamano tša Baithuti ba Maloba 
•Karolo ya Dikgokagano le Papatšo 
•Karolo ya Kgoboketšo ya Matlotlo 
•Karolo ya Tšwelotšopele/Kaonafatšo  ya Institušene"
up_glossary_support_8,Corporate International Relations,Korporatiewe Internasionale Betrekkinge,,CIR,,KIB,,,
up_glossary_support_9,Department of Enrolment and Student Administration,,{Kgoro ya Ngwadišo le Taolo ya Baithuti (e be e le Senthara ya Ditirelo tša Badirelwa },DESA / used to be CSC,,,Departement Toelating en Studenteadminstrasie (DTSA) (voorheen KDS),DESA / CSC,
up_glossary_support_10,Education Innovation,Onderwysinnovasie,,Department for Education Innovation / EI,,Departement vir Onderwysinnovasie / OI,,,
up_glossary_support_11,Facilities Management,Fasiliteitebestuur,,FM,,FB,,,
up_glossary_support_12,Finance,Finansies,,FIN,,FIN,,,
up_glossary_support_13,Fundraising,Fondswerwing,,,Part of Department of University Relations,,Deel van Departement Universiteitsbetrekkinge,,Karolo ya Kgoro ya Dikamano tša Yunibesithi
up_glossary_support_14,Human Resources,Menslike Hulpbronne,,HR,,MH,,,
up_glossary_support_15,Information Governance,Inligtingsbestuur,,IG,,IB,,,
up_glossary_support_16,Information Technology Services,Inligtingtegnologiediens,,ITS,,ITD,,,
up_glossary_support_17,IT Helpdesk,IT-Hulpdiens,,,,,,,
up_glossary_support_18,Institutional Advancement,Institusionele Bevordering,,DIA,Part of Department of University Relations,DIB,Deel van Departement Universiteitsbetrekkinge,,Karolo ya Kgoro ya Dikamano tša Yunibesithi
up_glossary_support_19,Language Unit,Taaleenheid,,LANG,Unit for Academic Literacy,TAAL,Eenheid vir Akademiese Geletterdheid,,Lekala la Dithuto tša Tsebotlhaka
up_glossary_support_20,Legal Services,Regsdienste,,LEG,Office of the Registrar,LEG,Kantoor van die Registrateur,,Ofisi ya Morejistara/ Mmušakarolo
up_glossary_support_21,Library Services,Biblioteekdienste,,LIB,,BIB,,,
up_glossary_support_22,Procurement,Verkryging,,PROC,Department of Finance,KRY,Departement Finansies,,Kgoro ya Matlotlo
up_glossary_support_23,Quality Unit,Kwaliteitseenheid,,QU,,QU,,,
up_glossary_support_24,Office of the Registrar,Kantoor van die Registrateur,,REG,"Academic Administration, Department of Enrolment and Student Administration (DESA), Legal Services Division, Security Services, Residence Affairs and Accommodation, UP Archive",REG,"Akademiese Administrasie, Departement Toelating en Studenteadministrasie (DTSA), Afdeling Regsdienste, Veiligheidsdienste, Koshuisaangeleenthede en Akkommodasie, UP Argief",,"Taolo ya Thuto, Kgoro ya Ngwadišo le Taolo ya Baithuti (DESA) Karolo ya Ditirelo tša Molao, Ditirelo tša Tšhireletšo, Merero ya Bodulo le Madulo, Bolotadingwalwa bja UP"
up_glossary_support_25,Research and Innovation Support,Navorsing- en Innovasie- ondersteuning,,DRIS,,NIO,,,
up_glossary_support_26,Residence Affairs and Accommodation,Koshuisaangeleenthede en Akkommodasie,,RES,Office of the Registrar,RES,Kantoor van die Registrateur,,Ofisi ya Morejistara/Mmušakarolo
up_glossary_support_27,Risk Management and Internal Audit,Risikobestuur en Interne Oudit,,RISK,,RISK,,,
up_glossary_support_28,Secretariat,Sekretariaat,,,Office of the Registrar,,Kantoor van die Registrateur,,Ofisi ya Morejistara/ Mmušakarolo
up_glossary_support_29,Security Services,Veiligheidsdienste,,SS,Office of the Registrar,VD,Kantoor van die Registrateur,,Ofisi ya Morejistara/Mmušakarolo
up_glossary_support_30,South African Higher Education Community Engagement,Suid-Afrikaanse Hoëronderwysforum vir Gemeenskapsinteraksie,,,Department of Community Engagement,SAHECEF,Departement Gemeenskapsbetrokkenheid,,Kgoro ya Go tšea karolo Setšhabeng/Kgokagano le Setšhaba
up_glossary_support_31,Forum,,,SAHECEF,,,,,
up_glossary_support_32,"Student Affairs, Department of","Studentesake, Departement",,DSA,,DSS,,,
up_glossary_support_33,TuksAlumni,TuksAlumni,,ALUM,Part of Department of University Relations,ALUM,Deel van Departement Universiteitsbetrekkinge,,Karolo ya Kgoro ya Dikamano tša Yunibesithi
up_glossary_support_34,TuksSport,TuksSport,,SPORT,,SPORT,,,
up_glossary_support_35,University Relations,Universiteitsbetrekkinge,,DUR,includes:  •Division for Alumni Relations  •Division for Communication and  •Division for Fundraising  •Division for Institutional Advancement,DIB,sluit in:  •Afdeling Alumnibetrekkinge  •Afdeling Kommunikasie en Bemarking  •Afdeling Fondswerwing   •Afdeling Institusionele Bevordering,,"e akaretša: 
•Karolo ya Dikamano tša Baithuti ba maloba 
•Karolo ya Dikgokagano le Papatšo 
•Karolo ya Kgoboketšo ya Matlotlo 
•Karolo ya Tšwelotšopele/Kaonafatšo ya Institušene"
up_glossary_support_36,UP Archive,UP Argief,,ARC,Office of the Registrar,ARG,Kantoor van die Registrateur,,Ofisi ya Morejistara/Mmušakarolo
up_glossary_support_37,UP Arts,UP Kunste,,ARTS,,ARTS,,,
up_glossary_support_38,Web Office,Webkantoor,,WEB,,WEB,,,
