id,eng,afr,nso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info
up_glossary_prinshof_campus_0,Animal Laboratory,Dierelaboratorium,,Prinshof,Institute for Pathology,Prinshof,Instituut vir Patologie,,
up_glossary_prinshof_campus_1,Basic Medical Sciences,Basiese Mediese Wetenskappe,,Prinshof,"Cafeteria BMW, Central Laboratory Complex, Community Health, Health Sciences: General, Medicine: Administration, Library BMW, Pharmacology, Surgery, Physiology",Prinshof,"Kafeteria BMW, Sentrale Rekenaarlaboratorium-kompleks, Gemeenskapsgesondheid, Gesondheidswetenskappe: Algemeen, Geneeskunde: Administrasie, Biblioteek BMW, Farmakologie, Chirurgie, Fisiologie",,
up_glossary_prinshof_campus_2,Caretaker residence and garage,Opsigterswoning en -motorhuis,,Prinshof,Rental houses (Facilities and Services),Prinshof,Huurhuise (Fasiliteite en Dienste),,
up_glossary_prinshof_campus_3,Daspoort Polyclinic and Outbuilding,Daspoort-polikliniek en -buitegebou,,Prinshof,Haematology,Prinshof,Hematologie,,
up_glossary_prinshof_campus_4,Gas Storage,Gasberging,,Prinshof,Institute for Pathology,Prinshof,Instituut vir Patologie,,
up_glossary_prinshof_campus_5,Health Sciences,Gesondheidswetenskappe,,Old Faculty Building / Prinshof,"Cafeteria: Clinical, Central Computer Laboratory, Complex, Director: Information Technology, Service, Health Sciences: General, Library: Clinical, Medicine: Administration, Research Development, Student Development",OuFakulteitsgebou / Prinshof,"Kafeteria: Klinies, Sentrale Rekenaarlaboratorium kompleks, Direkteur: Inligtingtegnologiediens, Gesondheidswetenskappe: Algemeen, Biblioteek: Klinies, Geneeskunde: Administrasie, Navorsingsontwikkeling, Studenteontwikkeling",,
up_glossary_prinshof_campus_6,Hippokrates Residence,Hippokrates-koshuis,,Prinshof,Medical Residence Hippokrates,Prinshof,Mediese Koshuis Hippokrates,,
up_glossary_prinshof_campus_7,HW Snyman South,HW Snyman-suid,,Prinshof,"Anaesthesiology, Cardiology, Cardiothoracic Surgery, Central Computer Laboratory, Complex, Child Health, Director: Information Technology, Family Medicine, Medicine: Administration, Human Nutrition, Internal Medicine, Library: Clinical, Health Sciences: General, Neurology, Neurosurgery, Nursing, Obstetrics and Gynaecology, Ophthalmology, Physiotherapy, Psychiatry, Radiographic Sciences, Radiology, Studio Education Innovation, Surgery, Urology",Prinshof,"Anestesiologie, Kardiologie, Kardiotorakale Chirurgie, Sentrale Rekenaarlaboratorium kompleks, Kindergeneeskunde, Direkteur: Inligtingtegnologie, Huisartskunde, Geneeskunde: Administrasie, Mensvoeding, Interne Geneeskunde, Biblioteek: Klinies, Gesondheidswetenskappe: Algemeen, Neurologie, Neurochirurgie, Verpleegkunde, Obstetrie en Ginekologie, Oogheelkunde, Fisioterapie, Psigiatrie, Radiografiese Wetenskappe, Radiologie, Ateljee-onderwysinnovasie, Chirurgie, Urologie",,
up_glossary_prinshof_campus_8,Klinikala,Klinikala,,Prinshof,"Health Sciences: General, Anaesthesiology, Surgery, Family Medicine, Internal Medicine, Medical Oncology, Child Health, Orthopaedics, Radiology, Obstetrics and Gynaecology, Nursing, Urology, Neurology, Medicine: Administration, Cafeteria: Kalafong, Library: Kalafong",Prinshof,"Gesondheidswetenskappe: Algemeen, Anestesiologie, Chirurgie, Huisartskunde, Interne Geneeskunde, Mediese Onkologie, Kindergeneeskunde, Ortopedie, Radiologie, Obstetrie en Ginekologie, Verpleegkunde, Urologie, Neurologie, Geneeskunde: Administrasie, Kafeteria: Kalafong, Biblioteek: Kalafong",,
up_glossary_prinshof_campus_9,New Prinshof Lecture Hall Complex,Nuwe Prinshof-lesingsaalkompleks,,Prinshof,,Prinshof,,,
