id,eng,afr,nbl,xho,zul,nso,sot,tsn,ssw,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
statssa_multilingual_statistical_terminology_0,Agricultural inputs,Landbou-insette,Iinsetjenziswa zokulima,Amagalelo ezolimo,Izinsizamikhiqizo zezolimo,Dithuatweleto temong,Dintlafatsi tsa temothuo,Dithusa-tlhagiso tsa temothuo,Tisetjentiswa tetekulima,Thikhedzo dza zwa vhulimivhufuwi,Swinonisi,category: Agriculture,"definition: Consumable expendable inputs in agricultural production for both crops and livestock, for example fertilisers, seeds, veterinary drugs, etc.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_1,Annual crops,Jaargewasse,Isivuno somnyaka,Izilimo zonyaka,izitshalo zonyaka,Dibjalo ta ngwaga,Dijalo tsa selemo tsa hang ka selemo,Dijwalo tsa ngwaga,Sivuno semnyaka,Zwikawa zwa waha,Swimilanguva,category: Agriculture,definition: Crops that are planted and harvested during the same production season.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_2,Area harvested for grain,Oppervlakte geoes vir graan,isikhekhe esivunelwe ukudla,Ummandla ovunwe isivuno esiziinkozo,Insimu okuvunwe kuyo okusanhlamvu,Palomoka ya tema ya puno ya leroro,Masimo a kotulo ya dijothollo,Kgaolokotutsweng tlhaka/thoro,Indzawo levunelwe lokusaluhlavu,Tsimu / vhupo khaelwathoro,Ndhawu ya ntshovelo wa rimbewundzhoho,category: Agriculture,"definition: Area harvested for dry grain (whole grain, seed, beans or unshelled nuts) for commercial purposes, or to be retained for seed, animal feed or human consumption. It therefore excludes areas planted but not harvested owing to hail damage, fire, grazing, etc., and areas harvested but not used for grain, but for silage, etc.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_3,Area planted for grain,Oppervlakte beplant vir graan,isikhekhe esitjalelwe ukudla,Ummandla otyalwe ukutya okuziinkozo,Insimu etshalwe okusanhlamvu,Tema ye e lemetwego leroro/tema ye e lemetwego dijothoro,Masimo a temo ya dijothollo,Kgaolo e jwetsweng tlhaka/thoro; kgaolojwetsweng,Indzawo lehlanyelelwe lokusaluhlavu,Tsimu /vhupo ndimelwathoro / ngobelelwathoro,Ndhawu yo byala rimbewundzoho,category: Agriculture,"definition: That part of the total area planted that is planted with the intention of harvesting it for grain rather than for silage, grazing or fodder.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_4,Cash crop,Kontantgewas,Ukudla kokuthengisa,Isilimo esinengeniso,Izitshalo ezizothengiswa,Dibjalo ta go rekiwa,Dijalo tse rekiswang,Dijwalothekiso,Silimo sekutsengiswa,Tshizwalwa / tshimela ndimelwathengiso,Xirimiwanxaviso,category: Agriculture,definition: Crop grown for sale rather than for consumption on the farm. Synonym is food crop.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_5,Cereals,Graangewasse,Ukudla okumasiriyeli,Iisiriyeli,Amasiriyeli,Diserili/dijothoro,Dijothollo; diserele,Dijalothoro,Inhlavumabele,Zwa thoro,Mavelendzoho,category: Agriculture,"definition: Wheat, coarse grains and rice.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_6,Commercial farm,Kommersile plaas,Iplasi ethengisako,Ifama yorhwebo,Ipulazi lohwebo,Polase ya bogwebi,Polasi ya kgwebo; polasi ya ho hweba,Polasekgwebo,Lipulazi letekuhweba,Bulasi ya bindu,Purasi ra bindzu,category: Agriculture,"definition: A farm producing agricultural products intended for the market, usually registered for value added tax (VAT) and income tax.",,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_7,Commercial farmer,Kommersile boer,Umlimi othengisako,Umfama ongumrhwebi,Umlimi/ umfuyi ohwebayo,Molemi wa bogwebi,Molemirui ya rekisang,Molemirui wa mogwebi,Umlimi lohwebako,Mulimimufuwi mubindudzi,Murimimufuwi wa bindzu,category: Agriculture,definition: A person who produces agricultural products intended for the market. See subsistence farmer.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_8,Crop estimate,Oesskatting,Isilinganiso sesivuno,Umlinganiselo wesivuno,Isilinganiselomkhiqizo sezitshalo,Tekanyeto ya morago ga puno,Dipalopalo tsa tekanyetso ya kotulo; kakanyo ya kotulo,Tekanyetsothobo,Silinganisosivuno,Ngaganyakhao,Nkumbetelontshovelo,category: Agriculture,definition: Quantitative determination of crop yield after harvest.,,,,,,,,,,,,,,,,,,,,
statssa_multilingual_statistical_terminology_9,Crop forecast,Oesvooruitskatting,Isilinganiso sokuzokuvunwa,Uqikelelo lwesivuno,Isibikezelomkhiqizo sezitshalo,Tekanyeto ya pele ga puno,Dipalopalo tse lebeletsweng tsa kotulo; ditebello tsa kotulo,Ponelopele ya thobo; ponelopelethobo,Kuhlawumbelisa sivuno,Nganganya-/ mvumbakhao,Mvhumbontshovelo,category: Agriculture,definition: Quantitative approximation of the crop yield prepared and released before harvest.,,,,,,,,,,,,,,,,,,,,
