id,eng,afr,xho,zul,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info
google_research_ai_terminology_0,Accuracy,akkuraatheid,Ukuchaneka,Ukunemba,"It is the proportion of all classifications that were correct, whether positive or negative. Emails example: In the spam classification example, accuracy measures the fraction of all emails correctly classified.",,"Dit is die gedeelte van alle klassifikasies wat korrek was, ongeag of dit positief of negatief was. E-posvoorbeeld: In die strooiposklassifikasievoorbeeld meet akkuraatheid die breukdeel van alle e-posse wat korrek geklassifiseer is.",,"Ngumlinganiselo wazo zonke iindidi zokuhlela ebezichanekile, nokuba bezilungile okanye zingalunganga. Umzekelo we-imeyile: Kumzekelo wokuhlelwa kwe-spam, ukuchaneka kulinganisa iqhezu lazo zonke ii-imeyile ezihlelwe ngokuchanekileyo.",,"Kuyisilinganiso sakho konke ukuhlunga obekunembile, kungakhathaliseki ukuthi kuhle noma kubi. Isibonelo sama-imeyili: Esibonelweni sokuhlungwa kukagaxekile, ukunemba kulinganisa ingxenye yawo wonke ama-imeyili ahlungwe ngokunembile.",
google_research_ai_terminology_1,Active learning,aktiewe leer,Ukufunda ngokusebenza,Ukufunda okusebenzayo,"A special case of machine learning in which a learning algorithm can interactively query a human user (or some other information source), to label new data points with the desired outputs.",,’n Spesiale geval van masjienleer waarin ’n leeralgoritme interaktief navraag by ’n menslike gebruiker (of ’n ander inligtingbron) kan doen om nuwe datapunte met die verlangde uitsette te etiketteer.,,"Imeko ekhethekileyo yokufunda koomatshini apho i-algorithm yokufunda inokubuza ngokudibeneyo kumsebenzisi ongumntu (okanye omnye umthombo wolwazi), ukulebheyila amanqaku amatsha edatha kunye neziphumo ezifunwayo.",,"Isimo esikhethekile sokufunda ngomshini lapho i-algorithm yokufunda ingabuza ngokuxhumana nomsebenzisi ongumuntu (noma omunye umthombo wolwazi), ukulebula amaphoyinti edatha amasha ngemiphumela efiselekayo.",
google_research_ai_terminology_2,AI alignment,KI-belyning,Ulungelelwaniso lweAI,Ukuqondanisa kwe-AI,"Aims to steer AI systems toward a person's or group's intended goals, preferences, and ethical principles. An AI system is considered aligned if it advances the intended objectives. A misaligned AI system pursues unintended objectives.",,"Dit is daarop gemik om AI-stelsels in die rigting van ’n persoon of groep se bedoelde doelwitte, voorkeure en etiese beginsels te stuur. ’n AI-stelsel word as gerig beskou as dit die bedoelde doelwitte bevorder. ’n Wangerigte AI-stelsel streef onbedoelde doelwitte na.",,"Ijolise ekuqhubeni iinkqubo ze-AI ukuya kwiinjongo ezijoliswe kumntu okanye iqela, ukhetho, nemigaqo yokuziphatha. Inkqubo ye-AI ithathwa njengelungelelanisiweyo ukuba iqhubela phambili iinjongo ekujoliswe kuzo. Inkqubo ye-AI engalunganga ilandela iinjongo ezingalindelekanga.",,"Imigomo yokuqondisa amasistimu we-AI emigomweni ehloselwe umuntu noma iqembu, okuncanyelwayo, nemithetho yokuziphatha. Isistimu ye-AI ibhekwa njengeqondanisiwe uma ithuthukisa imigomo ehlosiwe. Isistimu ye-AI engaqondanisiwe kahle iya emigomweni engahlosiwe.",
google_research_ai_terminology_3,Algorithmic bias,algoritmesydigheid,Ukuthatha icala kwealgorithm,Ukuchema ngokwe-algorithmic,"A systematic and repeatable errors in a computer system that create ""unfair"" outcomes, such as ""privileging"" one category over another in ways different from the intended function of the algorithm.",,"’n Sistematiese en herhaalbare fout in ’n rekenaarstelsel wat “onregverdige” uitkomste skep, soos om een kategorie bo ’n ander te “bevoordeel” op maniere wat van die bedoelde funksie van die algoritme afwyk.",,"Iimpazamo ezicwangcisiweyo neziphindaphindwayo kwinkqubo yekhompyutha edala iziphumo ""ezingalunganga"", ezifana ""nokubeka phambili"" olunye udidi ngaphezulu kolunye ngeendlela ezahlukileyo kumsebenzi ocetyiweyo we-algorithm.",,"Amaphutha wesistimu naphindekayo kusistimu yekhompyutha asungula imiphumela ""engafanele"", ""njengokuphakamisa"" isigaba esithile ngaphezu kwesinye ngezindlela ezihlukile emsebenzini obuhlosiwe we-algorithm.",
google_research_ai_terminology_4,Algorithmic transparency,algoritmedeursigtigheid,Ukubonakala kwealgorithm,Ukungafihlwa ngokwe-algorithmic,"The principle that the factors that influence the decisions made by algorithms should be visible, or transparent, to the people who use, regulate, and are affected by systems that employ those algorithms.",,"Die beginsel dat die faktore wat die besluite beïnvloed wat deur algoritmes geneem word, sigbaar, of deursigtig, moet wees vir die mense wat stelsels wat daardie algoritmes benut, gebruik en reguleer en daardeur geraak word.",,"Umgaqo wokuba izinto ezichaphazela izigqibo ezenziwe ziialgorithm kufuneka zibonakale, okanye zibe lubala kubantu abazisebenzisayo, abazilawulayo, nabachaphazelekayo ziinkqubo ezisebenzisa ezo zixhobo.",,"Umthetho wokuthi izici ezinegalelo ezinqumweni ezenziwa ama-algorithms kufanele zibonakale, noma zingafihleki, kubantu abasebenzisa, baqondise, futhi bathintwe amasistimu asebenzisa lawo ma-algorithm.",
google_research_ai_terminology_5,Artificial Intelligence,kunsmatige intelligensie,Ubungqondi bekhompyutha,Ubuhlakani Bokwakhiwe,"AI / In its broadest sense, is intelligence exhibited by machines, particularly computer systems. It is a field of research in computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.",,"KI / Dit is in die wydste betekenis intelligensie wat deur masjiene, veral rekenaarstelsels, getoon word. Dit is ’n navorsingsveld in rekenaarwetenskap wat studiemetodes en sagteware ontwikkel wat dit vir masjiene moontlik maak om hul omgewing waar te neem en leer en intelligensie te gebruik om handelinge uit te voer wat hul kans so groot moontlik maak om gedefinieerde doelwitte te bereik.",,"AI / Xa ichazwa ngeyona ndlele igabalala, bubukrelekrele obubonakaliswa ngoomatshini, ingakumbi iinkqubo zekhompyutha. Licandelo lophando kwisayensi yekhompyutha ephuhlisa ize ifunda iindlela nesoftware eyenza ukuba oomatshini babone okuwungqongileyo kwaye usebenzise ukufunda nobukrelekrele ukuthatha iintshukumo ezandisa amathuba awo okufikelela kwiinjongo ezichaziweyo.",,"Ngomqondo obanzi, ukuhlakanipha okubonakaliswa imishini, ikakhulu amasistimu ekhompyutha. Iyinkundla yocwaningo lwesayensi yekhompyutha esungula futhi icwaninge izindlela nesofthiwe evumela imishini ukuba ibone indawo futhi isebenzise ukufunda nokuhlakanipha ukuze ithathe izinyathelo ezikhuphula amathuba ayo okufinyelela imigomo ebekiwe.",
google_research_ai_terminology_6,Artificial Neural Network,kunsmatige neurale netwerk,INethiwekhi yeNgqondo Eyenziweyo,Ubuxhakaxhaka Bokunikezelana Obakhiwe,"ANN / In machine learning, a neural network (also artificial neural network or neural net, abbreviated ANN or NN) is a model inspired by the structure and function of biological neural networks in animal brains. An ANN consists of connected units or nodes called artificial neurons, which loosely model the neurons in the brain.",,"KNN / In masjienleer is ’n neurale netwerk (ook kunsmatige neurale netwerk of neurale net, afgekort as KNN of NN) ’n model wat geïnspireer is deur die struktuur en funksie van biologiese neurale netwerke in die breine van diere. ’n KNN bestaan uit gekoppelde eenhede of nodusse genaamd kunsmatige neurone, wat losweg na die neurone in die brein gemodelleer is.",,"ANN / Ekufundweni koomatshini, i-neural nethwekhi (ne-artificial neural nethwekhi okanye i-neural net, i-ANN xa ifinyeziwe okanye i-NN) yimodeli engumzekelo ekhuthazwa sisakhiwo nomsebenzi we-biological neural networks kubuchopho bezilwanyana. I-ANN iqulathe iiyunithi ezidityanisiweyo okanye iindawo ezibizwa ngokuba zii-neuron ezenziweyo, ezibonisa ngokukhululekileyo imithambo-luvo ebuchotsheni.",,"Ekufundeni komshini, ineural network (ebizwa nangokuthi yi-artificial neural network noma ineural net, enesifinyezo esithi ANN noma NN) iyimodeli esekelwa ukwakheka nokusebenza kwamabiological neural network ebuchosheni bezilwane. I-ANN iqukethe amayunithi noma amanodi axhumene abizwa ngokuthi ama-artificial neuron, alingisa amaneuron asebuchosheni.",
google_research_ai_terminology_7,Autonomous Vehicles,outonome voertuig,Izithuthi ezizilawulayo,Izimoto Ezizishayelayo,"Refers to a car that is capable of operating with reduced or no human input. Synonyms: self-driving car, driverless car, robotaxi, robotic car or robo-car.",,"Dit verwys na ’n motor wat in staat is om met verminderde of geen menslike insette nie te werk. Sinonieme: selfbestuurmotor, bestuurderlose motor, robottaxi, robotiese motor of robotmotor.",,"Ibhekisa kwimoto ekwaziyo ukusebenza ngegalelo lomntu elinciphileyo okanye kungekho galelo lomntu. Izithethantonye: imoto eziqhubayo, imoto engenamqhubi, i-robotaxi, imoto yerobhothi okanye i-robo-car.",,"Zibhekisela emotweni ekwazi ukuhamba ngokuqondisa okuncane komuntu noma ngaphandle kwako. Amagama afanayo: imoto ezishayelayo, imoto engenamshayeli, irobotaxi, imoto eyirobhothi noma irobo-car.",
google_research_ai_terminology_8,Bias-variance tradeoff,sydigheid-variansie-afruiling,Ukuthatha icala kwiyantlukwano yorhwebo,Ilumbanisamaphutha,"Describes the relationship between a model's complexity, the accuracy of its predictions, and how well it can make predictions on previously unseen data that were not used to train the model.",,"Dit beskryf die verhouding tussen ’n model se kompleksiteit, die akkuraatheid van die voorspellings daarvan, en hoe goed dit voorspellings kan doen op grond van data wat nie vroeër gesien is nie en nie gebruik is om die model op te lei nie.",,"Ichaza unxulumano phakathi kokuntsokotha kwemodeli, ukuchaneka koqikelelo lwayo, nendlela enokwenza ngayo uqikelelo kwidatha ebingabonwa ngaphambili engazange isetyenziswe ekuqeqesheni imodeli.",,"Ichaza ubuhlobo phakathi kobunkimbinkimbi bemodeli, ukunemba kokuqagela kwayo, nendlela ekwazi ukuqagela kahle ngayo kudatha engakaze ibonwe ngaphambilini engazange isetshenziswe ekuqeqesheni leyo modeli.",
google_research_ai_terminology_9,Chatbot,kletsbot,Ichatbot,Ifuzelankulumo,A software application or web interface that is designed to mimic human conversation through text or voice interactions. Also spelled as chat bot.,,’n Sagtewareapp of webkoppelvlak wat ontwerp is om menslike gesprek deur teks- of steminteraksies na te boots. In Engels gespel as “chatbot” of “chat bot”.,,Iaplikheyshini yesoftware okanye ujongano lwewebhu eyilelwe ukulinganisa incoko yabantu ngokubhaliweyo okanye ukusetyenziswa kwelizwi. Ikwapelwe ngokuthi chat bot.,,I-application yesofthiwe noma isixhumi esibonakalayo sewebhu esiklanyelwe ukulingisa ingxoxo yabantu ngombhalo noma ngokuxhumana ngezwi. Iphinde ibhalwe nangokuthi chat bot.,
