id,eng,afr,zul,xho,ssw,nbl,nso,tsn,sot,ven,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,afr_pos_or_descriptor,afr_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
oertb_data_0,acculturation,akkulturasie,ukunikezelana ngamasiko,utshintshiselwano ngenkcubeko,kutselelana kwemasiko,ukuthatha amasiko wakosobantu okubangelwa kuqongelana ngokwamasiko,tlwaetšo ya setšo,tlwaetso ya setso,tlwaetso ya meetlo,vhufhaṱamvelele,mfuwontekelelwa,,,,,,,,,,,,,,,,,,,,,,
oertb_data_1,acephalous society,"leierlose samelewing, asefale samelewing",umphakathi ongenanhloko ngokwezombusazwe,uluntu olungenayo inkokeli,ummango lote inhlokho,umphakathi onganabadosiphambili,setšhaba seo se se nago moetapele wa sepolotiki,setšhaba tlhoka-moeteledipele,setjhaba se se nang moetapele,tshayamukoma,xikalahosi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_2,achieved status,verworwe status,isikhundla esisetshenzelwe,iwonga elifikelelweyo,simobunjalo lesizuziwe setenhlalo,ubujamo obuzuziweko,phihlelelo ya maemo,seemo se se fitlheletsweng,maemo a fihlelletsweng,vhuimo,xiyimo lexi fikeleriweke,,,,,,,,,,,,,,,,,,,,,,
oertb_data_3,adult socialisation,volwasse sosialisering,ukulungiselelwa impilo yobudala,uqhelaniso lobuntu lwabantu abadala,kukhulisa umuntfu lomdzala,ikambiso yokulungiselela ubudala,thuto ya go tlwaetša go phela le batho,thuto ya bogolo,thuto ya botho ya boholo,ngudiswakhutshilele,xiseveseve,,,,,,,,,,,,,,,,,,,,,,
oertb_data_4,affinal kin,aangetroude familie,izihlobo ngokomshado,umzalwane ngokomtshato,"tihlobo ngekwemendvo, umshado",ukuhlobana ngokuthathana,balapa ka lenyalo,balosika ka nyalo,leloko la madi,mashaka nga nzeo,vamaseve,,,,,,,,,,,,,,,,,,,,,,
oertb_data_5,affluent society,welvarende gemeenskap,umphakathi onothile waseMelika,uluntu olunobutyebi,ummango lonjingile,umphakathi onjingileko,setšhaba se se atlegilego,setšhaba se se humileng,setjhaba se atlehileng,vhathu vha no ḓikona,swixurhana,,,,,,,,,,,,,,,,,,,,,,
oertb_data_6,age grade,leeftydsgroep,ontanga,ihlelo,bontsanga bebulili bunye,igreyidi yobudala,sehlopha sa mphato o tee,setlhopha go ya ka dingwaga,sehlopa,tshigwadathanga,tintangha,,,,,,,,,,,,,,,,,,,,,,
oertb_data_7,age set,ouderdomsgroep,ibutho elilawulayo,iseti yobudala,licembu labontsanga,isiqhema esihlanganisa abomma nabobaba,sete ya mengwaga,sete ya dingwaga,sete ya dilemo,sethethanga,tintangha,,,,,,,,,,,,,,,,,,,,,,
oertb_data_8,agency,bemiddeling,ukusebenzela abanye,"uncedo, ishishini lomenzeli",i-ejensi,umenzeli,boemedi,boemedi,boemedi,vhunzhakanḓila,muyimeri,,,,,,,,,,,,,,,,,,,,,,
oertb_data_9,agrarian society,agrariese samelewing,umphakathi olima ngegeja,umbutho onxulumene nomhlaba,ummango lolimako,umphakathi wezelimo,setšhaba sa bolemi,setšhaba sa temo,setjhaba sa bolemi,tshitshavha tsha ndimo,varimi,,,,,,,,,,,,,,,,,,,,,,
oertb_data_10,alienation,vervreemding,i-alineshini,ukuphephetha,kwehlukanisa,ukuhlukanisa,karoganyo,kgaoganyo,karohanyo,bandashaya,xikhiri,,,,,,,,,,,,,,,,,,,,,,
oertb_data_11,ambilineal descent,ambilineêre afkoms,isizukulwana samadodana namadodakazi,inzala yemilibo emibini,kuhlobana kwentalelwane yekhabobabe neyekhabomake,ukulamana ngokweenini,tatelano ka mahlakoreng a mabedi,botso jwa matlhakore a mme kgotsa ntate,tatelano ka mahlakoreng ohle,vhushakavhuṱhanganeli,vakaxin'wana,,,,,,,,,,,,,,,,,,,,,,
