id,eng,sot,nso,ssw,ven,nbl,xho,zul,tsn,tso,eng_pos_or_descriptor,eng_pos_or_descriptor_info,sot_pos_or_descriptor,sot_pos_or_descriptor_info,nso_pos_or_descriptor,nso_pos_or_descriptor_info,ssw_pos_or_descriptor,ssw_pos_or_descriptor_info,ven_pos_or_descriptor,ven_pos_or_descriptor_info,nbl_pos_or_descriptor,nbl_pos_or_descriptor_info,xho_pos_or_descriptor,xho_pos_or_descriptor_info,zul_pos_or_descriptor,zul_pos_or_descriptor_info,tsn_pos_or_descriptor,tsn_pos_or_descriptor_info,tso_pos_or_descriptor,tso_pos_or_descriptor_info
unisa_multilingual_linguistic_terminology_0,abbreviation,kgutsufatso,khutsofatšo,sifinyeto,khau {,isirhunyezo,isishunqulelo,isifinyezo,,,"part of the study of word-formation, distinguishing several ways in which words can be shortened",,"karolo ya ho ithuta ya popeho ya lentswe, ho kgetholla ditsela tse itseng tseo ho tsona mantswe a ka kgutsufatswang",mong. ke lentswe le kgutsufaditsweng ho monghadi,popego ye e kopanafaditšwego ya lentšu goba sekafoko,khutsofatšo ya bjalo bjalo ke bj.bj.,indlela yekwakha emabito ngekufishanisa,bafundzi batawubhala sifinyeto seligama,"noun / tshipida tsha u vhala ipfi-vhumbwa, u bula nḓila dzo fhambanaho dzine maipfi a nga kona u pfufhifhadzwa (Crystal, 2008: 1)",z = na zwiṅwevho / pfufhifhadzo},igama elirhunyeziweko,"Kilomutjho othi, Umkhuphe ukudla emlonyen. Egameni emlonyeni elingundaweni itjhada u-m osuselwe egameni umlomo utjhuguluke waba ngu-ny","sibizwa njengamagama ahamba odwa (NATO, laser) (Crystal, 2008: 1)",amagama athi; KFC asisishunqulelo samagama athi Kentucky Fried Chicken,igama elifingqiwe,isifinyezo sisetshenziswa uma kufingqwa igama,,,,
unisa_multilingual_linguistic_terminology_1,absolute pronoun,leemediqho,lešalašala,sabito selucobo,ḽisala vhukuma,isabizwana samambala,ifonekiti ngamaza ezandi,isabizwana soqobo,leemedi tota,risivinene,a word used to refer to a noun or a deleted noun,,ke lentswe le sebedisetswang ho emela lebitso kapa lebitso le tlositsweng,"bana ba disitse tsona, tsona ke lentswe le emelang dikgomo",lentšu le le dirišwago legatong la leina,lona ke lešalašala leo le ka šomišwago legatong la leina bjalo ka letsogo,ligama lelimele libito emshweni,sabito selucobo sisebenta kancono kunelibito,ndi ipfi ḽi shumiswaho u imela dzina fhungoni kana ḽa shuma kathihi na dzina,mutukana ene u ḽa vhuswa/ ene u ḽa vhuswa.,Isabizwana sijamela ibizo (sisijamelibizo) emutjhweni.,Isabizwana sisetjenziswa khulu lokha nakujanyiselelwa ibizo  bunje: Yena (umalume) ngimbonile gade adle amarhugu izolo. Igama yena emutjhweni lo sisabizwana.,"isebe lefonetiki elifunda nzulu ngeempawu ezibambekayo zezandi zentetho, njengoko zisuka emlonyeni ukuya endlebeni, ngokwemithetho-siseko sefonetiki ngamaza ezandi (isebe lokubambekayo malunga nezandi zentetho) (Crystal 2008: 33).",ifonetiki ngamaza ezandi zentetho ibandakanya iimpawu ezinjengobungakanani bengxolo yesandi,igama elimele ibizo emshweni,isabizwana soqobo sisetshenziswa kakhulu enkulumeni,lefoko le le emeng mo boemong jwa leina mo  polelong; sekao:  monna o roma bana – ena o roma bona,"mo polelong ena o setla mabele, ena ke leemeditota.","i rito leri sivaka riviti exivulweni, leri tihlawulekisaka hi xilandzi xa {-na}.","Risivinene ""yena"" ri yimela ""mufana"" kasi ""vona"" ri yimela ""Valungu"". / Letin'wana tinxaka ta risivi I risivikomba na risivintalo."
unisa_multilingual_linguistic_terminology_2,abstract noun,lebitsokgopolo,leinakgopolo,libitosimo,dzina ngelekanyo,ibizo elingabonakaliko {Isibonelo: Ithando> libizo lento engekhe sakghona ukuyibona. Incwadi,isibizo sokungaphathekiyo,ibizo lento engebonwe,,rivitaxianakanyiwa,a noun which refers to abstract concepts which can only be conceived mentally,,ke  lebitso le sebedisetswang mareo a boptjwang feela kelellong,lehloyo la bona ho buuwa ka lona hole metseng,leina le le šupago selo se se sa bonwego ka mahlo a nama eupša se akanywa fela,lehufa ke leinakgopolo ka gore le  šupa selo se se sa bonwego ka mahlo,libito lentfo lengaphatseki lesengcondvweni.,thishela ulivisisa ncono libitosimo,ndi dzina  ḽo livhiswaho kha ngelekanyo khumbulelwa dzine dza nga vhumbwa fhedzi nga kuhumbulele,vhuaḓa= ṅwana wa vhuaḓa o swika,Ligama lento esingekhe sikwazi ukuyibona / i / ii / > libizo lento esikghona ukuyibona besiyithinte.},,isibizo esimele imiba engaphathekiyo engqiqo yayo ikwingcingane kuphela,isibizo esithi ubulumko sisibizo sokungaphathekiyo,yigama lento engebonwe ngamehlo,ukuzonda yibizo lento engebonwe futhi engenakuthintwa,,,"i riviti leri thyiwaka nchumu lowu anakanyiwaka kunene, lowu nga voniwiki, lowu nga khomekiki","rito ""torha"" i rivitaxianakanyiwa hikuva ri yimela nchumu lowu nga voniwiki hi mahlo naswona wu nga khomekiki hi mavoko / letin'wana tinxaka ta riviti hi leti: rivitaswilo, rivitavito, rivitantlawa"
unisa_multilingual_linguistic_terminology_3,acoustic phonetics,difonetiki tsa modumo le kutlo,thutamedumo ya go kwa,ifonetiki yelivi noma ifonetiki yesimo semsindvo,u hwalwa ha mibvumo i tshi ya nḓevheni,umtlolo-mazombe/ifonetiki eqalene nokukhamba kwetjhada,iziphimiseli ezishukumayo,ifonetiki ebhekene nokuhamba komsindo,,xifonetiki xa swihlawulekisi swa mipfumawulo,"the branch of phonetics which studies the physical properties of speech sound, as transmitted between mouth and ear, according to the principles of acoustics (the branch of physics devoted to the study of sound) (Crystal 2008: 33).",,"lekala la difonetiki le ithutang ka matshwao a tshwarehang a medumo ya puo, jwaloka  ha e fetiswa mahareng a molomo le tsebe ho ya ka metheo ya medumo (lekala la fisiki/tsebotlhaho le shebaneng  le ho ithuta medumo)","morupelli o ruta baithuti ka difonetiki tsa modumo jwaloka [tjh,kg,!]",thutamedumo ye e swaraganego le popego le tshepelo ya maphoto a medumopolelo,"go na le makala a go fapana a thutamedumo bjalo ka thutamedumo ya kwagatšo, thutamedumo ya go kwa le thutamedumo ya forensiki",luhlobo lwelubhalo jikelele loluhlola imisindvo leyentiwa noma yakhiwa timphimisi ngenhloso yekuchumana,yifundzeni ifonethiki yelivi ngobe itanisita kusasa,davhi ḽa mibvumo ine ya vhala vhuvha ha tshipitshi tsha muungo sa tshanduko vhukati ha mulomo na nḓevhe  u ya nga vha zwa mibvumo davhi ḽo ḓikumedzaho kha ngudo dza mubvumo (Crystal 2008: 33),"u vhudzula ha muya
maipfi a vhathu
u vala ha vothi
u lila ha phalaphala",Isifundo esimayelana namatjhada aqalene nokukhamba kwamatjhana ukusuka emlonyeni waloyo okhulumako ukuya eendlebeni zaloyo olaleleko nofana ekukhulunywa naye.,"Amagama anjengalawa: ithando, umona, ukufa, njll. Koke okutloliwekokhu angekhe sikwazi ukukubona.","amalungu ashukumayo kumjelo wokuphinyiselwa kwezandi zentetho, afana nemilebe, ulwimi nomhlathi ongezantsi (Crystal, 2008: 35)",iziphimiselo ezishukumayo ezinjengolwimi zizo ezisuka ziye kwindawo yophimiselo engashukumiyo yona.,isifundo esibhekene nokuhamba komsindo usuka emlonyeni wokhulumayo ukuya ezindlebeni zolalele,abafundi abafunda ngokuhamba kwemisindo ize iyofinyelela ezindlebeni zolalele bavame ukubheka amagagasi emisindo,,,i xiyenge xa xifonetiki lexi dyondzaka ndlela leyi mipfumawulo yo vulavula yi vumbiwaka hayona,xifonetiki xa swihlawulekisi swa mipfumawulo hi wun'wana wa tinxaka ta xifonetiki / xk: ku na xifonetiki xa matwariselo
unisa_multilingual_linguistic_terminology_4,acronym,akronime,akronimi,i-akhronimi,akironimi,,isivakalisi somfuziselo oqhelekileyo,i-akhronimi,akeronimi,,"are pronounced as single words (NATO, laser) (Crystal, 2008: 1)",,"kgutsufatso e bopjwang ka ditlhaku tse qalang tsa mantswe a mang mme e qapodiswa e le lentswe le le leng (NATO, laser)",mokgatlo wa (African National Congress) ANC o tsitlallela ho sirelletsa ditokelo tsa batho,lentšu le le kopanafaditšwego ka go tšea fela dinoko goba ditlhaka tša mathomong tša mantšu ao a bopilego leina leo gomme le bitšega bjalo ka lentšu ka bolona,"Soshanguve ke akronimi ka gore ke leina le le bopilwego ka dinoko tša mathomong a mantšu Sotho, Shangani, Nguni le Venda",sifinyeto lesitsatsa tinhlavu tekucala teligama egameni lelidze nome esihlokweni,sebentisa i- akhronimi yaleligama ungalibiti lonkhe ngobe lidze,"pfufhifhadzo ya maipfi i vhumbwaho nga u shumisa tshipiḓa tsha maipfi a u thoma kha dzina kana fhungo ḽilapfu (NATO, laser) (Crystal, 2008: 1)",COSATU= Congress of South African Trade Unions / khau/pfufhifhadzo,Isirhunyezo esisebenzisa ezinye iingcenye zamagama wento ethileko nofana iinhlavu zokuthoma eziphinyiswa njengegama elilodwa.,"Abafundi abafunda ngokukhamba kwamatjhada ize iyokufika endlebeni yolaleleko, bavame ukuqala amagagasi wetjhada.",isivakalisi esiphawuleka ngolandelelwano lwamagama oluqala ngentloko engumenzi + isenzi + injongosenzi engumenziwa,isivakalisi somfuziselo oqhelekileyo sifana nesi; umakoti uhlamba izitya,ukusebenzisa izinhlamvu zokuqala zamagama okuthile eziphinyiswa njengegama elilodwa,i-AIDS iyisifinyezo esiyi-akhronimi,"akeronimi ke mafoko a a bopilweng ka go tsaya  ditlhaka tsa ntlha tsa leina le leleele  mme le tsewa jaaka lefoko le le ikemetseng ka bolona, e seng khutswafatso.","mo polelong ke buisa diathikele tsa SEBABO,  SEBABO ke akeronimi ya Sekaulengwe sa Baruti sa Aforika Borwa",,
unisa_multilingual_linguistic_terminology_5,active articulators,diqapodisi tse sebetsang,,timphimisi letinyakatako,miraḓo ya mulomo i shumiswaho kha u bulwa ha mibvumo,isiphimisi esinyakazako,imo evumayo nengavumiyo,isiphimisi esinyakazayo,ditumisitira,swirho swa mbulavulo leswi fambafambaka,"movable parts of the vocal apparatus, such as the lips, tongue and lower jaw (Crystal, 2008: 35)",,"dikarolo tse tsamayang tsa disebediswa tsa lentswe tse jwalo ka dipounama, leleme le mohlahare","medumo boholo e boptjwa ka dipounama, leleme le mohlahare jwalo ka
 [t,p le r]",,,tincenye temlomo letinyakatako nawuphimisa emagama latsite njengetindzebe temlomo noma inhloko yelulwimi kanye netincenye telulwimi ngekwehlukana kwato,umlomo ungulenye yetimphimisi letinyakatako nakuphinyiswa,"miraḓo i dzinginyeaho ya tsikaipfi u nga sa meme, lulimi na luṱaha lwa nga fhasi  (Crystal, 2008: 35)","laṱa= ṅwana o laṱa bola
mona= ṋama yo mona tshiulu
ruma= ndo ruma ṅwana vhengeleni.",Isitho sokuphimisa esitjhidelana nesinganyakaziko lokha nakuphinyiswa amatjhada.,"Isirhunyezo esithi Unisa, sisibonelo esihle sesirhunyezo esisebenzisa iingcenye zegama kunye neenhlavu zokuthoma eziphinyiswa njengegama elilodwa.","yalatha ukuba ingaba isenzi sikwimo evumayo okanye engavumiyo na (Louwrens, 1994: 2)",izakhi zegama zizo ezalatha ukuba ingaba isenzi sikwimo evumayo okanye engavumiyo na,isitho sokuphimisa esinyakazayo esisondelana nesitho esinganyakazi lapho kuphinyiswa umsindo othile,ulimi luyisitho sokuphimisa esinyakazayo esithinta izitho ezinganyakazi,"dirwe tsa puo tse di sutasutang jaaka molomo, leleme, letlhagare le le kwa tlase",fa go kapodiswa 'r' jaaka mo lefokong moriri le 'm' mo lefokong mme ditumisitira ke marinini mo go 'r' le dipuonama mo go 'm',"i swirho leswi tirhisiwaka ku vulavula, leswi kotaka ku suka eka ndhawu yo karhi swi ya eka yin'wana",loko hi twarisa mpfumawulo wa [f] nomu wa le hansi i xirho xa mbulavulo lexi fambafambaka
unisa_multilingual_linguistic_terminology_6,active sentence,poleloketsi,lefokotira,umusho locondzile,ḽiambaitwa,umutjho onesenzo esingekho epambosini yokwenziwa,ekuthethwa naye; umntu wesibini,umusho oqondile onesenzo esingekho empambosini yokwenziwa,polelo-tira,xivulwatwisi,a sentence which is characterised by the word order pattern semantic subject + active verb + semantic object (Louwrens 1994: 2),,polelo e hlophisitsweng ka paterone ya tatellano ya mantswe moelelo wa moetsi + leetsi le tshebetsong + moelelo wa moetsuwa,titjhere e ruta bana,lefoko le le thomago ka sediri gomme sedirwa sa ba ka morago ga lediri,monna o diša dikgomo ke mohlala wa lefokotira,umusho lolandzela ngco imigomo yekwakhiwa kwemusho ngekwesemanthiki ube nenhloko sento namentiwa,umusho locondzile uyavisiseka,ndi mutaladzi une wa bulwa nga mutevhe wa ipfi ṋefhungo + nyito + tshiitwa  (Louwrens 1994: 2),"mutukana u ḽa vhuswa
ṅwana u ḓo tamba bola.",ukusetjenziswa kwesenzo esingekho epambosini yokwenziwa,Ilimi sisitho sokuphimisa esinyakazako bese sithintana nesitho esinganyakaziko ukuphimisa amatjhada ahlukileko.,umntu okanye abantu ekuthethwa nabo kwimeko yencoko,izivumelanisi zentloko zomntu okanye abantu ekuthethwa nabo okanye umntu wesibini ngu-u kwisinye no-ni kwisininzi,ukusetshenziswa komusho onesenzo esingekho empambosini yokwenziwa emshweni,umusho oqondile onesenzo esingekho empambosini yokwenziwa uvame ukuba sobala,polelo e e nang le diponagalo tse di supang paterone ya tatelano ya  lediri le ledirwa la bokao,mo polelong-tira Lebo o opela pina  sediri ke Lebo  sedirwa ke pina,i xivulwa lexi tihlawulekisaka hi nandzelelano wa nhlokomhaka + riendlikulu + xiendliwa hi ku ya hi nhlamuselo,"xivulwatwisi i xivulwa xo fana na lexi nge ""thekisi yi tleketla vatirhi"" / laha nhlokomhaka yi le kusunguleni ka xivulwa naswona hi yona yi endlaka xiendlo xo tleketla"
unisa_multilingual_linguistic_terminology_7,actuality,bonnete,tirego,umusho loneliciniso,vhungoho,ngokwamambala,isivumelanisi sesiphawuli,ukuvuma noma ukuphika kwesenzo,,tlhelo,"indicates whether a verb occurs in the positive or negative (Louwrens, 1994: 2)",,e supa haeba ketso e etsahala ka tumelong kapa kganyetsong,bana ba na le bonnete ba hore ntate o tla ya toropong,tšweletšo ya lediri go laetša gore le ka tumelo goba kganetšo na,mo lefokong le 'o a sepela' tirego ke tumelo mola go la 'ga a sepele' tirego e le ya kganetšo,umusho lobonisa sobala kutsi sento siyaphika nome siyavuma,umusho loneliciniso awudzingi kuhlutwa.,"vhu sumbedza arali  nyito yo bvelela kha thenda kana kha khanedza (Louwrens, 1994: 2)","thenda= mutukana u lisa mbudzi
khanedza= mutukana ha lisi mbudzi. / vhukuma",Yikulumo etjengisa bona into ethileko iyenzeka ngokwamambala,"Abantwana badlala ibholo, kilo mutjho isenzo asikho epambosini yokwenziwa.",isakhi segama esikhokelela kwimvumelwano phakathi kwesibizo esikhokelayo nesiphawuli,kwisivakalisi esithi; Umthi omkhulu uwile. Isivumelanisi sesiphawuli ngu-om kwigama elithi omkhulu.,igama elisho ukuvuma noma ukuphika kwesenzo emushweni,ukuvuma noma ukuphika kwesenzo emshweni kwenza inkulumo izwakale kahle,,,ri kombisa loko riendlikulu ra xivulwa ri ri eka mpfumelo kumbe eka nandzulo,xivulwa xi nga va eka tlhelo ra mpfumelo kumbe ra nandzulo / xiya leswaku tlhelo ra riendlikulu a ri fani na maritofularha (xk: etelela - pfuka)
unisa_multilingual_linguistic_terminology_8,addressee; second person,mmuiswa; motho eo ho buuwang le yena,mmoledišwa,lekukhulunywa naye,vhaambiwanavho,"okhulunyiswako, umuntu wesibili",,okhulunyiswayo enkulumeni,mmuisiwa; motho wa bobedi,,the person or persons spoken to in a discourse situation,,motho kapa batho bao ho buuwang le bona puisanong,mmuiswa o hlabilwe ka mantswe,motho yo polelo e lebišitšwego go yena,lentšu le wena ke mmoledišwa mo lefokong le 'ke bolela le wena fela ga o mphetole',umuntfu lekukhulunywa naye engcocweni,umuntfu lekukhulunywa naye kumele alalele,ndi muthu kana vhathu vhane vha vha ambiwa navho kha nyambedzano,"mutukana uḽa u a shuma naa? 
ene u nga ha shumi ngauri u ṱwa masosani misi yoṱhe",Umuntu okhulunyiswako nofana ekuqaliswe kuye ikulumo,"Igama elithi imalimboleko lingumbolekwa, libolekwe esiNgisini.",,,umuntu okhulunyiswayo noma okubhekiswe kuye enkulumeni,okhulunyiswayo ungomunye wababamba iqhaza enkulumeni,motho kgotsa batho ba go buisanwang le bona mo tlhaeletsanong,Lesego ke mmuisiwa mo polelong ya mphe teye foo Lesego,,
unisa_multilingual_linguistic_terminology_9,adjectival concord,lehokakgethi,lekgokahlaodi,sivumelwano sesiphawulo,pfanoyavhuṱaluli,isivumelwano sesiphawulo,,isivumelwano sesiphawulo,thuanyitlhaodi {leradu le letshwaana le a dusa,xitwananisi xa rihlawuri,a morpheme which brings agreement between the antecedent noun and the adjective,,mofimi o tlisang tumellano pakeng tsa lereo le tlang pele le lekgethi,bashanyana ba babedi ba a bapala,lekgokedi le le hlolago tswalano magareng ga sediri le kutuhlaodi,lefokong la 'o sepele le mosadi yola yo moswana' yo mo ke lekgokahlaodi,sakhi noma imofimu leletsa budlelwano  emkhatsini  kwelibito nesiphawulo,kuhle kusebentisa sivumelwano sesiphawulo nawuchaza emabito,ndi matsinde ane a ḓisa thendelano vhukati ha dzina na liṱaluli,"vhatukana vha lisa mbudzi 
zwiṋoṋi zwi a fhufha
u tshimbila hu a takadza",Sisakhi esakha ubudlelwano phakathi kukasobizo nesiphawulo emutjhweni.,Okhulunyiswako uhlanganyela ekulumeni ngokulalela lokho okutjhiwoko.,,,isakhi esiletha ubudlelwano phakathi kwebizo nesiphawulo emshweni,isivumelwano sesiphawulo sisebenza nesiphawulo emshweni,ke karolo e e ruanyang letlhaodi le leina le le tlhaolwang; e bopilwe ka lesupi la maemo a ntlha la leina le le tlhaolwang le tlhogo ya leina le le tlhaolwang / > le le- ke thuanyitlhaodi},,i xiaki lexi twananisaka nhlokomhaka na nsinya wa rihlawuri,xitwananisi xa rihlawuri xi khomana na nsinya wa rihlawuri loko xi tsariwa naswona xi fana na xirhangi xa ntlawa wa riviti ra kona
